Sample	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-pct_duplication	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_q30_rate	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_q30_bases	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-filtering_result_passed_filter_reads	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_gc_content	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-pct_surviving	GATK4 MarkDuplicates: Mark Duplicates_mqc-generalstats-gatk4_markduplicates_mark_duplicates-PERCENT_DUPLICATION	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-error_rate	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-non_primary_alignments	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_mapped	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_mapped_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_properly_paired_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_MQ0_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-raw_total_sequences	Mosdepth_mqc-generalstats-mosdepth-1_x_pc	Mosdepth_mqc-generalstats-mosdepth-5_x_pc	Mosdepth_mqc-generalstats-mosdepth-10_x_pc	Mosdepth_mqc-generalstats-mosdepth-30_x_pc	Mosdepth_mqc-generalstats-mosdepth-50_x_pc	Mosdepth_mqc-generalstats-mosdepth-median_coverage	Mosdepth_mqc-generalstats-mosdepth-mean_coverage	Mosdepth_mqc-generalstats-mosdepth-min_coverage	Mosdepth_mqc-generalstats-mosdepth-max_coverage	Mosdepth_mqc-generalstats-mosdepth-coverage_bases	Mosdepth_mqc-generalstats-mosdepth-length	Bcftools: Stats_mqc-generalstats-bcftools_stats-number_of_records	Bcftools: Stats_mqc-generalstats-bcftools_stats-number_of_SNPs	Bcftools: Stats_mqc-generalstats-bcftools_stats-number_of_indels	Bcftools: Stats_mqc-generalstats-bcftools_stats-tstv	Bcftools: Stats_mqc-generalstats-bcftools_stats-number_of_MNPs
aviti_hq | MM1S-20231208_PLT-04_EBSL-0478-OBPA_MM1-S-5mil-DE090-3A1A-1	0.975179	0.961543	24124126720.0	167259810.0	0.4099	100.0																								
aviti_hq | MM1S-20231208_PLT-04_EBSL-0478-OBPA_MM1-S-5mil-DE090-3A1A-2	1.0031	0.960626	24758852667.0	171824472.0	0.410119	100.0																								
aviti_hq | MM1S-20231208_PLT-04_EBSL-0478-OBPA_MM1-S-5mil-DE090-3A1A-2.MM1S-20231208_PLT-04_EBSL-0478-OBPA_MM1-S-5mil-DE090-3A1A-2_1							0.013754																							
aviti_hq | MM1S-20231208_PLT-04_EBSL-0478-OBPA_MM1-S-5mil-DE090-3A1A-3	1.07862	0.963598	26744048823.0	185029006.0	0.409202	100.0																								
aviti_hq | MM1S.deepvariant																										7310096	5972578	1345142	1.52	0
aviti_hq | MM1S.md								0.004903016	0.0	1049285235.0	99.86804317255084	98.49303331552288	4.129719904087106	1050671668.0	94.0	94.0	93.0	84.0	56.99999999999999	52	49.93	0.0	203092.0	154806452468	3100554802					
aviti_hq | OPM2-20231208_PLT-04_EBSL-0477-OBPA_5mil-OPM2-DE090-1A1A-1	0.982025	0.962525	24249531138.0	167957794.0	0.409983	100.0																								
aviti_hq | OPM2-20231208_PLT-04_EBSL-0477-OBPA_5mil-OPM2-DE090-1A1A-2	1.20978	0.95751	29808276752.0	207540212.0	0.410052	100.0																								
aviti_hq | OPM2-20231208_PLT-04_EBSL-0477-OBPA_5mil-OPM2-DE090-1A1A-3	0.8900119999999999	0.967515	22060786099.0	152009930.0	0.409433	100.0																								
aviti_hq | OPM2-20231208_PLT-04_EBSL-0478-OBPA_5mil-OPM2-DE090-1A1A-1	0.979219	0.961589	24124015249.0	167251128.0	0.410304	100.0																								
aviti_hq | OPM2-20231208_PLT-04_EBSL-0478-OBPA_5mil-OPM2-DE090-1A1A-2	1.2005	0.956691	29596642212.0	206243208.0	0.410374	100.0																								
aviti_hq | OPM2-20231208_PLT-04_EBSL-0478-OBPA_5mil-OPM2-DE090-1A1A-3	0.885338	0.966758	21959884787.0	151433224.0	0.409719	100.0																								
aviti_hq | OPM2-20231208_PLT-04_EBSL-0478-OBPA_5mil-OPM2-DE090-1A1A-3.OPM2-20231208_PLT-04_EBSL-0478-OBPA_5mil-OPM2-DE090-1A1A-3_1							0.011726																							
aviti_hq | OPM2.deepvariant																										6258119	5100554	1162788	1.46	0
aviti_hq | OPM2.md								0.004562931	0.0	1051169436.0	99.87970189101262	98.689236912625	4.013837442822244	1052435496.0	94.0	94.0	93.0	87.0	49.0	49	50.13	0.0	161932.0	155421243292	3100554802					
