## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/aviti_hq_MM1S.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/aviti_hq_MM1S.gc_summary_metrics.txt INPUT=../nfcore_sarek_rerun/aviti_hq/outdir/preprocessing/markduplicates/MM1S/MM1S.md.cram OUTPUT=picard/aviti_hq_MM1S.gc_bias_metrics.txt REFERENCE_SEQUENCE=/vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 18 17:02:09 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	33	101104524	35715527	24	0.983899	0.000165			
All Reads	ALL	34	106384207	37784596	24	0.98924	0.000161			
All Reads	ALL	35	110784297	39904276	24	1.003241	0.000159			
All Reads	ALL	36	114264456	41717610	23	1.016886	0.000157			
All Reads	ALL	37	116112027	42550455	23	1.020683	0.000156			
All Reads	ALL	38	115911645	42637773	23	1.024546	0.000157			
All Reads	ALL	39	113905364	41775796	23	1.021514	0.000158			
All Reads	ALL	40	110368956	41120739	22	1.037715	0.000162			
All Reads	ALL	41	105410594	38908138	22	1.028064	0.000165			
All Reads	ALL	42	99544218	36775722	21	1.028985	0.00017			
All Reads	ALL	43	93498632	33880010	22	1.009258	0.000173			
All Reads	ALL	44	88082154	31273721	23	0.988907	0.000177			
All Reads	ALL	45	83711976	29536761	23	0.982741	0.000181			
All Reads	ALL	46	80341334	28276018	23	0.980264	0.000184			
All Reads	ALL	47	77642362	27321028	23	0.980082	0.000188			
All Reads	ALL	48	74936279	26338918	23	0.978971	0.000191			
All Reads	ALL	49	71643163	25148733	23	0.977699	0.000195			
All Reads	ALL	50	67487064	23691188	24	0.977755	0.000201			
All Reads	ALL	51	62640588	21990174	24	0.97777	0.000209			
All Reads	ALL	52	57626176	20269148	24	0.97967	0.000218			
All Reads	ALL	53	52943343	18687212	24	0.983099	0.000227			
All Reads	ALL	54	48772513	17287542	24	0.987238	0.000237			
All Reads	ALL	55	45092755	16063246	24	0.99218	0.000248			
