FFQ	16	17	0	5	103	125	98	126	135	117	147	141	171	158	209	166	222	257	270	328	317	432	347	428	638	516	675	773	905	958	1007	1221	1241	1374	1680	2322	1771	2329	3008	3666	4285	5058	7123	12787	15392	60255	620164	0
FFQ	17	0	0	7	124	159	166	149	146	145	182	141	161	170	237	192	255	261	266	324	360	468	410	456	680	560	649	822	862	1028	1068	1241	1294	1522	1826	2442	1751	2397	3103	3786	4546	5292	7239	13409	16246	64116	612809	0
FFQ	18	0	0	2	91	128	117	120	116	125	134	111	188	171	191	208	201	234	306	334	324	408	351	442	571	465	624	742	914	965	989	1189	1255	1371	1669	2411	1737	2313	3072	3546	4441	5016	7234	13117	15394	60589	619541	0
FFQ	19	0	0	5	94	127	132	115	129	99	144	111	152	167	176	202	221	232	282	295	338	415	349	427	645	453	651	737	868	951	1029	1171	1221	1269	1747	2364	1681	2376	2963	3562	4379	5019	6971	12763	15488	60261	620686	0
FFQ	20	3	0	7	94	124	129	117	120	97	137	124	156	171	193	185	197	247	243	270	308	440	336	381	594	495	629	703	817	948	945	1070	1228	1308	1630	2279	1741	2407	3002	3591	4216	4946	6862	12494	15188	59348	622947	0
FFQ	21	0	0	6	65	122	102	95	110	96	126	107	138	136	183	155	184	197	245	266	299	404	321	381	569	410	573	689	829	857	931	1065	1201	1183	1607	2318	1601	2349	2872	3430	4241	4689	6813	12146	14461	54805	630090	0
FFQ	22	0	0	3	92	136	125	123	107	124	158	109	150	183	179	180	254	214	261	305	329	426	343	434	621	449	624	687	855	922	1040	1079	1193	1358	1638	2419	1734	2364	2868	3603	4339	4818	6979	12484	15452	58462	623244	0
FFQ	23	0	0	5	111	127	122	118	118	117	175	136	158	165	200	194	221	206	250	300	316	388	341	410	623	468	658	737	847	900	1040	1121	1250	1371	1642	2334	1701	2301	3006	3551	4401	4897	6872	12671	15212	59011	622675	0
FFQ	24	1	0	6	103	128	101	109	129	98	148	125	159	163	222	187	257	279	253	279	342	446	339	385	612	446	641	698	852	902	1025	1126	1261	1364	1642	2421	1685	2397	2963	3546	4284	4981	6749	12666	15351	59564	622032	0
FFQ	25	0	0	3	94	143	130	129	119	105	153	138	168	153	202	200	224	282	248	324	340	412	370	449	642	492	647	674	849	952	1026	1099	1272	1340	1637	2337	1641	2418	2954	3420	4282	5035	6894	12666	15240	59840	621724	0
