Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,192736,182718,10018,937410,10092,744388,4487,3077,0.9480219999999999,0.947716,0.79409,0.9478690000000001,,,1.146239633971976,1.2904715201810637
INDEL,PASS,192736,182718,10018,937410,10092,744388,4487,3077,0.9480219999999999,0.947716,0.79409,0.9478690000000001,,,1.146239633971976,1.2904715201810637
SNP,ALL,1542765,1528667,14098,3761826,13810,2219428,2110,1654,0.9908620000000001,0.9910459999999999,0.589987,0.9909540000000001,2.1611586756236822,1.9759057011127015,1.0410143560170488,1.0063252605421453
SNP,PASS,1542765,1528667,14098,3761826,13810,2219428,2110,1654,0.9908620000000001,0.9910459999999999,0.589987,0.9909540000000001,2.1611586756236822,1.9759057011127015,1.0410143560170488,1.0063252605421453
