cell	lane	duplicate_rate
KMS12BM	L001	0.275435591271735
KMS12BM	L002	0.12052686172990247
MM1S	L001	0.28992646933560756
MM1S	L002	0.12682905304890393
OPM2	L001	0.2875948465573315
OPM2	L002	0.12792121060387243
REH	L001	0.3075609205345826
REH	L002	0.13439865797890635
