LFQ	21	1	0	6	744	1311	1171	1094	1093	1026	1019	1319	1132	1396	1323	1573	1634	1817	2056	2124	2374	2721	2602	3339	3365	3225	4214	5094	4253	5904	5673	7724	8126	8809	9005	10699	14015	14086	14616	19280	27304	27625	43067	54770	111409	582047	573883	0
LFQ	22	6	0	7	784	1288	1193	1042	1044	1069	1103	1267	1142	1425	1361	1604	1605	1821	2022	2110	2295	2645	2603	3360	3371	3357	4104	4969	4151	5852	5723	7705	8051	8868	8586	10729	13742	14019	14493	19032	26754	26921	42656	53336	110059	576067	585727	0
LFQ	23	0	0	9	778	1299	1174	997	1094	1015	1032	1167	1143	1308	1318	1678	1633	1817	1984	1909	2374	2503	2582	3233	3445	3325	3993	4879	4338	5740	5780	7573	7846	8450	8632	10765	13489	13596	14110	18799	26665	26237	42210	53157	108016	557327	610649	0
LFQ	24	0	0	4	790	1247	1156	1045	1092	1008	1100	1290	1160	1378	1372	1682	1598	1945	2117	2006	2449	2774	2691	3395	3414	3558	4121	4900	4339	6150	6088	7880	8279	9133	8981	10819	14097	14452	15025	19826	27389	28453	43877	55727	114073	603222	543966	0
LFQ	25	0	0	2	722	1289	1170	1006	1065	997	1059	1188	1126	1316	1381	1586	1564	1824	2106	2019	2357	2629	2648	3288	3319	3486	3929	4962	4359	5997	5922	7477	7965	8578	8534	10675	13626	13887	14177	19004	26808	26095	42241	52553	108935	560303	605894	0
LFQ	26	6	0	9	749	1247	1157	1017	995	1024	1016	1151	1140	1267	1311	1470	1447	1714	1971	1897	2194	2436	2513	3218	3243	3360	3546	4895	4331	5634	5704	7133	7627	8256	8347	10236	12882	12957	13906	18389	26020	24717	40376	51061	102882	509357	675260	0
LFQ	27	710	0	3	768	1170	1175	1075	1008	1043	1109	1262	1135	1294	1349	1552	1497	1764	1975	1984	2315	2580	2576	3308	3225	3425	3750	4709	4231	5652	5826	7144	7678	8430	8278	10038	13047	13044	13877	18376	25718	25265	40774	51192	103772	508669	672296	0
LFQ	28	344	0	14	749	1215	1129	1117	1094	1093	1105	1178	1176	1296	1318	1546	1576	1766	1986	2043	2309	2563	2514	3259	3184	3594	3716	4700	4494	5769	5964	6886	7645	8766	8222	10352	12498	12832	14353	18043	25444	24748	40128	50194	103716	490829	692601	0
LFQ	29	144	0	1	696	1217	1104	1001	1026	1054	990	1183	1108	1389	1310	1530	1653	1775	2032	1941	2173	2540	2455	3342	3227	3523	3638	4590	4465	5806	5978	6918	7503	8490	8013	10297	12642	12512	14541	18313	25528	24571	40593	50846	104204	496183	687023	0
LFQ	30	236	0	4	744	1195	1139	1007	1073	1070	1118	1240	1209	1363	1380	1547	1611	1757	2007	2093	2306	2584	2631	3436	3217	3556	3703	4853	4505	6092	6199	6801	7651	8787	8098	10378	12672	12720	14573	18497	25757	25007	40920	50696	105793	504533	673310	0
LFQ	31	78	0	5	715	1282	1163	1047	1033	1124	1072	1120	1190	1390	1356	1535	1560	1708	1931	2069	2288	2495	2530	3329	3224	3556	3719	4635	4540	6063	6127	6770	7722	8655	8073	10332	12995	12896	14725	18371	25129	24547	40677	50729	105407	499100	681056	0
LFQ	32	16	0	5	748	1248	1083	1044	1057	996	1107	1123	1139	1327	1314	1551	1597	1814	1969	2042	2254	2411	2520	3143	3339	3494	3760	4660	4443	5738	6014	6400	7469	8689	7916	10246	12392	12658	14896	18656	23583	24207	39862	49790	102664	484843	703841	0
LFQ	33	0	0	5	733	1179	1104	986	975	1037	1010	1166	1157	1305	1318	1448	1481	1794	1849	2016	2192	2448	2537	3088	3131	3406	3780	4552	4410	5691	6175	6038	7490	8514	7629	10135	11909	12472	15043	18478	22339	23645	38518	48842	98957	452589	746497	0
LFQ	34	1	0	10	774	1163	1168	1035	1053	1061	1074	1139	1147	1234	1410	1509	1635	1816	1911	2109	2397	2523	2517	3145	3090	3388	3843	4664	4398	5842	6292	5876	7787	8604	7841	10331	11926	12677	15721	18721	22703	23888	39400	49473	100083	463864	728825	0
LFQ	35	4	0	9	773	1245	1161	1070	1002	1109	1155	1124	1154	1383	1370	1557	1560	1858	1969	2082	2315	2512	2564	3325	3192	3627	4005	4762	4540	5901	6396	6105	7860	8668	7866	10835	12317	13011	16302	18942	22955	24650	40305	50805	102504	490179	693040	0
LFQ	36	0	0	8	771	1246	1120	1024	1051	1067	1088	1186	1196	1281	1339	1547	1625	1875	1948	2064	2354	2517	2606	3100	3237	3464	3836	4694	4334	5657	6162	5787	7718	8548	7677	10427	12128	12632	16042	18980	21154	24009	37921	50309	98234	460875	735230	0
LFQ	37	3	0	10	701	1259	1175	1112	1107	1091	1084	1160	1312	1255	1417	1499	1623	1788	1949	2081	2343	2470	2666	3146	3253	3420	3852	4610	4255	5866	6280	5466	8021	8517	7617	10385	11958	12531	16568	18998	20650	23619	37768	49989	96971	448432	749791	0
LFQ	38	51	0	7	691	1146	1180	987	1084	1047	1031	1153	1162	1258	1374	1516	1680	1783	1830	2029	2319	2429	2663	3104	3127	3374	4088	4628	4404	5879	6257	5477	8044	8352	7766	10594	11825	12711	16994	19118	20463	23864	37961	50341	97583	452213	744481	0
LFQ	39	8	0	13	762	1274	1223	1144	1208	1112	1104	1236	1254	1275	1401	1574	1653	1963	1975	2041	2449	2499	2805	3243	3232	3623	4181	4734	4434	6179	6497	5608	8130	8662	7826	10864	12316	13256	17213	19477	20730	24622	38413	52029	98486	465157	722183	0
LFQ	40	216	0	7	732	1237	1224	1127	1113	1100	1093	1187	1320	1312	1375	1552	1649	1851	1904	2108	2428	2509	2722	3262	3372	3570	4157	4693	4381	6284	6491	5633	8158	8665	7847	10962	11843	13324	17166	19560	20791	23844	38845	51770	98773	466056	721855	0
LFQ	41	3	0	7	758	1318	1162	1098	1105	1102	1129	1179	1319	1311	1375	1499	1696	1850	1874	2025	2440	2410	2872	3199	3163	3531	4114	4497	4313	5978	6312	5533	7951	8418	7696	10487	11720	12869	16783	18667	20427	23616	36672	50647	94731	435507	764705	0
LFQ	42	81	0	5	779	1219	1159	1025	1139	1132	1003	1156	1195	1260	1348	1559	1639	1841	1914	2071	2375	2400	2676	3069	3147	3430	4057	4345	4208	6036	6395	5450	7740	8354	7595	10568	11731	12901	16338	18516	20303	22979	36679	50796	94313	427647	775495	0
LFQ	43	669	0	5	749	1251	1223	1051	1089	1066	1121	1165	1246	1242	1382	1471	1653	1868	1772	2034	2452	2392	2665	3180	3292	3449	4194	4627	4130	6147	6466	5396	7841	8686	7648	10685	11739	12754	16655	18946	20903	23117	36569	51996	95602	436531	760949	0
LFQ	44	9	0	5	756	1292	1221	1028	1126	1143	1145	1162	1252	1317	1514	1523	1755	1911	1913	2109	2370	2570	2783	3211	3403	3603	4086	4567	4129	6381	6484	5744	7829	8755	7875	10708	12107	13694	16493	19497	21657	23662	37791	52887	97948	459664	728989	0
LFQ	45	792	0	9	855	1358	1296	1149	1162	1127	1229	1251	1334	1384	1492	1644	1897	2095	2056	2184	2587	2677	2871	3410	3366	3899	4445	4896	4358	6737	6725	6043	8214	9467	8311	11330	12565	14740	17269	20130	22855	24699	40102	55723	104392	506808	658135	0
LFQ	46	1	0	7	789	1314	1298	1156	1170	1184	1155	1257	1401	1323	1468	1621	1686	2005	2024	2168	2591	2710	3001	3414	3353	3784	4360	4948	4379	6964	6842	6178	8272	9244	8322	11794	12222	14916	17336	20162	22980	25103	39909	56615	103567	500280	664795	0
LFQ	47	119	0	2	779	1313	1216	1162	1155	1150	1188	1270	1431	1335	1452	1557	1839	1987	1959	2120	2509	2584	2834	3242	3327	3778	4333	4746	4118	6619	6484	5780	8083	9229	8261	11345	11963	14883	16709	19517	22369	24353	38246	54796	100829	472641	704456	0
LFQ	48	32	0	7	739	1269	1248	1023	1079	1039	1135	1133	1325	1273	1434	1510	1733	1878	1944	2065	2495	2483	2807	3114	3316	3396	4165	4527	4070	6412	6490	5832	7561	8844	8000	10430	11665	14175	15811	18768	21623	23303	36603	52035	96379	440013	754885	0
LFQ	49	0	0	7	814	1261	1248	1118	1091	1141	1182	1124	1293	1319	1418	1487	1755	1883	1945	2119	2392	2519	2861	3368	3431	3644	4164	4699	4071	6325	6407	5795	7627	9185	8235	10910	11623	14438	16242	18782	21956	24034	36894	53469	99374	458263	728155	0
LFQ	50	94	0	5	755	1230	1178	1083	1107	1142	1165	1247	1265	1281	1440	1472	1726	1985	1883	2024	2411	2452	2779	3217	3292	3530	4267	4633	4009	6376	6254	5964	7755	8931	8031	10462	11351	14439	15770	18958	21976	23762	36923	52893	98334	450014	740203	0
LFQ	51	1	0	10	794	1303	1246	1187	1121	1149	1143	1201	1322	1367	1512	1529	1715	1898	1944	2107	2498	2619	2740	3202	3345	3673	4207	4620	4150	6272	6345	5874	7643	9094	8084	10502	11490	14375	15419	18535	21990	23981	36164	52126	98191	446792	744588	0
LFQ	52	88	0	3	717	1316	1231	1051	1060	1115	1143	1192	1369	1325	1472	1538	1712	1911	1933	2167	2576	2626	2749	3252	3389	3616	4304	4640	4076	6351	6369	5895	7657	9278	8018	10368	11364	14706	15691	18793	21830	24123	36430	52455	98134	444699	745336	0
LFQ	53	1	0	4	791	1296	1196	1103	1083	1106	1161	1136	1358	1178	1300	1528	1600	1888	1899	2122	2451	2451	2786	3146	3378	3573	4169	4535	4032	6260	6156	5815	7551	9085	8066	10215	11305	14539	15264	18148	22271	24331	35594	51842	97296	428628	766431	0
LFQ	54	0	0	10	788	1236	1183	1090	1073	1055	1136	1106	1304	1265	1410	1508	1671	1764	1925	2065	2412	2540	2740	3121	3300	3627	3918	4636	4065	5907	6208	5853	7487	8694	7943	10236	11168	14376	14719	17559	21645	24126	34303	50436	92754	401774	803932	0
LFQ	55	241	0	13	756	1301	1181	1079	1173	1091	1126	1192	1325	1242	1409	1505	1724	1913	1885	2123	2453	2474	2667	3231	3441	3647	4191	4615	4093	6286	6279	5936	7443	9158	8380	10410	11513	14374	15049	18684	22125	24562	35292	52054	96785	431830	761817	0
LFQ	56	0	0	10	821	1380	1289	1131	1158	1130	1213	1233	1465	1355	1450	1615	1762	1967	2056	2173	2536	2641	2794	3357	3454	3703	4305	4909	4259	6424	6344	6083	7571	9145	8245	10754	11280	14906	14965	18741	22107	25048	35257	51965	96866	432898	757303	0
LFQ	57	307	0	4	880	1373	1245	1147	1158	1118	1245	1242	1496	1378	1484	1589	1848	1947	2022	2243	2508	2653	2880	3272	3455	3834	4217	4768	4237	6277	6483	6128	7748	9318	8383	10765	11405	15121	14884	18715	22586	25576	35813	52336	98304	445895	739781	0
LFQ	58	31	0	8	843	1389	1269	1147	1133	1166	1263	1173	1396	1375	1430	1586	1860	2034	2072	2174	2602	2652	2830	3402	3404	3790	4218	4761	4134	6426	6609	6054	7862	9347	8417	11147	11567	14950	15092	19317	22931	25841	36056	52821	100209	467355	713925	0
LFQ	59	5	0	8	791	1267	1261	1136	1108	1103	1176	1234	1384	1326	1404	1636	1768	1884	2061	2131	2371	2585	2832	3304	3412	3819	4130	4746	4287	6257	6308	6040	7908	9068	8587	10908	11197	14987	14741	18568	22141	25326	34627	52038	96357	429338	762503	0
LFQ	60	256	0	6	891	1360	1312	1202	1174	1170	1255	1236	1408	1316	1456	1668	1796	1974	2099	2173	2421	2613	2848	3380	3597	3738	4194	4815	4391	6135	6445	6011	7904	9204	8421	11010	11066	15009	14456	18747	22525	25863	34156	51973	94766	417788	773840	0
LFQ	61	609	0	11	754	1290	1163	1137	1163	1190	1254	1171	1423	1320	1409	1687	1705	1920	2070	2153	2520	2591	2742	3346	3463	3732	4207	4762	4362	6254	6379	6015	7784	8961	8421	10714	11251	14944	14323	18291	22409	25910	34181	52039	94721	415542	777775	0
LFQ	62	401	0	14	797	1312	1224	1164	1141	1118	1225	1159	1391	1320	1392	1598	1738	2014	2079	2060	2465	2616	2773	3320	3381	3752	4170	4774	4358	6036	6207	5963	7702	8718	8500	10851	10813	14678	14344	18337	22337	25335	34019	51130	94207	416534	780601	0
LFQ	63	387	0	15	812	1221	1166	1046	1168	1060	1162	1107	1335	1270	1264	1478	1676	1806	1962	2084	2271	2541	2741	3076	3396	3545	3882	4465	4216	5725	5971	5766	7156	8402	8153	9980	10486	14101	13610	17218	21407	24467	31845	49274	88551	377561	839243	0
LFQ	64	3	0	16	784	1256	1142	1110	1067	1111	1138	1134	1309	1238	1293	1432	1617	1813	1929	2055	2245	2430	2709	3143	3165	3438	3780	4559	4237	5787	5886	5917	7478	8260	8314	10295	9949	13946	13628	17155	21447	24649	32365	49057	87919	381510	836353	0
LFQ	65	1	0	7	845	1318	1269	1089	1057	1156	1205	1240	1361	1319	1452	1522	1713	1915	1977	2067	2411	2614	2726	3170	3365	3630	3976	4731	4359	5906	5902	5965	7515	8550	8235	10301	10426	14466	13852	17923	21260	24588	32586	49353	87911	387198	825636	0
LFQ	66	7	0	13	804	1379	1238	1095	1145	1136	1145	1200	1339	1333	1399	1568	1782	1920	2010	2139	2351	2558	2773	3229	3314	3620	3927	4656	4323	6114	6010	5987	7486	8298	8373	10211	10263	14208	13862	17880	21378	25079	33368	49141	88731	392963	818313	0
LFQ	67	702	0	9	805	1267	1191	1081	1122	1118	1122	1175	1288	1317	1377	1507	1722	1857	1981	2153	2358	2676	2666	3223	3353	3718	3872	4643	4335	6034	5981	6041	7543	8424	8382	10561	10456	14155	14038	17968	21477	25012	33048	49662	88707	392470	817471	0
LFQ	68	2493	0	7	792	1346	1220	1157	1170	1180	1132	1171	1372	1340	1426	1575	1740	1984	2004	2144	2332	2438	2882	3192	3403	3597	3997	4777	4377	6046	6166	5915	7519	8487	8722	10278	10336	14404	13761	18124	21112	25019	33761	49347	89065	397900	808858	0
LFQ	69	353	0	11	814	1270	1226	1107	1165	1137	1236	1179	1365	1363	1502	1585	1683	1904	2082	2190	2310	2517	2718	3247	3429	3619	4038	4666	4352	6284	6040	6073	7559	8521	8762	10681	10642	14261	14313	18382	21409	25239	34150	50029	91645	411033	791977	0
LFQ	70	139	0	6	794	1260	1244	1178	1169	1144	1162	1176	1424	1368	1419	1504	1759	1867	1959	2112	2473	2547	2824	3285	3404	3632	4172	4691	4392	6216	6071	6078	7637	8707	8662	10807	10373	14518	14284	18500	21182	25486	34274	49881	90577	410305	793406	0
LFQ	71	41	0	7	810	1399	1271	1218	1180	1093	1230	1245	1400	1387	1465	1622	1814	1973	1987	2162	2453	2753	2889	3426	3363	3759	4131	4759	4404	6171	6220	6070	7569	8711	8877	10835	10601	14480	14368	18588	21571	25464	34402	49943	91351	415184	785422	0
LFQ	72	2	0	6	797	1326	1249	1131	1121	1107	1218	1239	1399	1366	1464	1625	1894	1922	1951	2189	2435	2582	2801	3293	3538	3812	4166	4750	4463	6352	6178	6394	7628	8624	8839	10821	10834	14738	14719	18487	21224	25936	35151	50675	91962	418064	779596	0
LFQ	73	31	0	5	806	1336	1300	1160	1197	1128	1220	1239	1418	1342	1413	1599	1826	1895	1945	2246	2497	2655	2807	3373	3370	3688	4052	4679	4548	6189	6173	6388	7644	8688	8986	10764	10613	14490	14713	18152	21538	25488	34924	50169	90664	413858	786852	0
LFQ	74	330	0	21	914	1392	1304	1204	1198	1172	1242	1212	1421	1355	1528	1582	1876	2005	2029	2308	2427	2638	2866	3435	3449	3832	4212	4710	4397	6437	6044	6359	7505	8600	8887	10730	10588	14453	14763	18039	21606	25409	35602	50015	90654	421597	777721	0
LFQ	75	197	0	8	876	1381	1281	1191	1181	1168	1233	1236	1459	1376	1421	1650	1784	2024	2004	2345	2445	2604	2673	3432	3478	3854	4233	4731	4564	6276	6242	6360	7496	8619	9144	10634	10731	14346	14596	18214	21648	25661	35547	50316	91008	422140	776261	0
LFQ	76	6	0	12	896	1409	1309	1187	1193	1217	1217	1236	1431	1371	1464	1547	1784	1919	1995	2293	2432	2693	2751	3383	3449	3715	4240	4722	4385	6182	6041	6227	7316	8550	9023	10260	10491	13960	14540	17484	21309	25248	34305	48955	85943	388298	821680	0
LFQ	77	381	0	8	874	1438	1232	1208	1141	1177	1269	1298	1367	1397	1493	1646	1819	1976	2055	2264	2526	2668	2742	3498	3510	3711	4339	4806	4770	5988	6152	6525	7356	8625	9195	10573	10620	13978	15089	17867	21590	25526	35256	49989	88508	408450	793168	0
LFQ	78	13	0	11	833	1432	1248	1187	1126	1155	1223	1296	1462	1409	1464	1717	1805	1943	2101	2250	2378	2612	2764	3417	3532	3621	4165	4618	4753	6141	6043	6632	7492	8475	9090	10270	10785	14035	15150	17470	21457	25287	34441	49669	86631	391132	815333	0
LFQ	79	20	0	5	907	1374	1248	1158	1151	1232	1236	1257	1382	1412	1470	1646	1783	1922	2022	2312	2477	2619	2677	3479	3438	3782	4198	4744	4780	5911	6062	6611	7389	8485	9170	10503	10870	13949	14875	17333	21580	25689	34545	50011	87191	397198	807965	0
LFQ	80	78	0	12	882	1336	1320	1309	1217	1246	1280	1360	1396	1357	1553	1678	1881	2023	2154	2284	2602	2725	2837	3583	3623	3843	4597	4971	4973	6262	6335	6796	7629	9018	9593	10873	11638	14418	15468	18473	22616	26487	36860	52185	93007	438526	746764	0
LFQ	81	5	0	13	906	1506	1360	1205	1250	1274	1350	1326	1483	1472	1605	1664	1951	2106	2176	2279	2549	2827	2813	3563	3705	3857	4564	5103	4982	6128	6284	6998	7686	8925	9645	11167	11509	14349	15871	18349	22617	26610	36876	52131	91930	426655	758444	0
LFQ	82	44	0	22	933	1437	1353	1303	1235	1290	1324	1332	1538	1431	1567	1625	1874	1958	2144	2382	2507	2660	2861	3642	3482	3912	4357	5028	5016	6109	6387	6808	7533	8629	9634	10889	11278	14071	15757	17968	22400	26059	35655	51252	89920	418834	773628	0
LFQ	83	1790	0	13	851	1456	1293	1240	1212	1215	1272	1237	1386	1429	1562	1671	1898	2013	2077	2346	2536	2733	2820	3645	3542	3761	4428	4919	4988	5941	6215	6677	7763	8550	9664	10858	11309	13710	15899	17720	22417	26077	35660	51020	89716	421804	770735	0
LFQ	84	2490	0	5	873	1470	1351	1207	1177	1206	1282	1334	1386	1512	1542	1667	1948	1946	2187	2354	2492	2671	2803	3650	3499	3852	4468	4850	5016	6057	6437	6647	7752	8716	9599	11002	11716	13913	15966	18240	22450	26420	36323	51511	91819	434117	752145	0
LFQ	85	31	0	7	945	1575	1266	1286	1271	1247	1272	1349	1441	1518	1564	1678	2020	2008	2097	2435	2481	2715	2857	3613	3545	4012	4473	4832	5102	6042	6445	6786	7503	8800	9490	10718	11685	13637	15771	17856	22282	26046	35608	51072	89341	420808	772538	0
LFQ	86	1874	0	15	928	1491	1278	1228	1217	1319	1316	1303	1503	1470	1533	1729	1902	1961	2184	2333	2473	2712	2865	3580	3483	4001	4379	4788	5058	5962	6267	6698	7651	8640	9500	10912	11341	13728	15806	17697	22178	26122	34927	51162	88211	402376	791967	0
LFQ	87	1	0	12	898	1478	1332	1249	1282	1233	1316	1329	1477	1424	1610	1702	1992	1966	2177	2421	2603	2635	2885	3581	3460	3896	4349	4903	5045	5808	6513	6764	7722	8491	9250	10795	11586	13444	16096	17890	22077	25907	34523	50497	87765	403052	794632	0
LFQ	88	1852	0	11	917	1471	1341	1309	1261	1210	1282	1318	1438	1516	1601	1731	1917	2074	2233	2436	2716	2689	2904	3715	3657	3933	4480	5038	5207	5850	6509	7045	7962	8641	9465	10669	12021	13766	16155	18189	23002	26808	35781	52470	91774	424547	759157	0
LFQ	89	110	0	34	920	1516	1425	1329	1332	1264	1345	1344	1457	1423	1532	1703	1889	2089	2165	2391	2491	2675	2987	3669	3416	3998	4356	4890	5227	5870	6316	6748	7734	8488	9287	10442	11502	13367	16089	17552	22351	25763	33966	50350	87936	398003	800327	0
LFQ	90	338	0	19	915	1504	1377	1322	1318	1253	1302	1391	1462	1475	1620	1794	2065	2039	2138	2522	2629	2683	3030	3690	3609	4063	4534	4982	5291	5920	6372	6923	7912	8542	9398	10943	11945	13689	16211	17987	22800	26149	35203	52057	90496	421478	766678	0
LFQ	91	118	0	17	984	1590	1443	1348	1306	1332	1368	1438	1465	1489	1719	1788	1995	2114	2213	2496	2687	2757	3018	3786	3637	4152	4549	5229	5492	6123	6591	6998	8227	8847	9650	11405	12181	13915	16464	18954	23259	26556	36190	52983	93727	447724	729744	0
