# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	e0856010	cff87ad9	78f663a5
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	1591068	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	1591068
SN	is sorted:	1
SN	1st fragments:	0
SN	last fragments:	1591068
SN	reads mapped:	1591068
SN	reads mapped and paired:	1591068	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	1591068	# proper-pair bit set
SN	reads paired:	1591068	# paired-end technology bit set
SN	reads duplicated:	8114	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	68
SN	total length:	238660200	# ignores clipping
SN	total first fragment length:	0	# ignores clipping
SN	total last fragment length:	238660200	# ignores clipping
SN	bases mapped:	238660200	# ignores clipping
SN	bases mapped (cigar):	238316191	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	1217100
SN	mismatches:	1003174	# from NM fields
SN	error rate:	4.209424e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	0
SN	average last fragment length:	150
SN	maximum length:	150
SN	maximum first fragment length:	0
SN	maximum last fragment length:	150
SN	average quality:	42.0
SN	insert size average:	472.8
SN	insert size standard deviation:	14.3
SN	inward oriented pairs:	795523
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
LFQ	1	32	0	28	188	232	197	253	240	242	218	308	378	339	519	527	564	806	690	969	1021	1065	1229	1402	2446	1949	1832	2590	4446	1891	6700	3740	9567	8202	11035	25874	42170	200214	1256965	0	0	0	0	0	0	0	0	0
LFQ	2	5	2	3	104	136	176	196	182	198	240	246	327	370	337	517	673	628	803	901	964	1122	1008	1614	1625	1759	2401	2755	2453	3931	3944	3382	5760	5315	10310	10024	12361	26193	36193	1101479	276793	73638	0	0	0	0	0	0
LFQ	3	0	0	1	81	92	129	165	177	153	186	214	261	284	284	444	574	517	737	820	853	1018	923	1370	1358	1653	1980	2280	2293	3215	3399	3158	4974	4578	8710	8085	10844	19568	28754	643539	391850	441547	0	0	0	0	0	0
LFQ	4	0	0	0	147	173	186	255	219	231	277	260	378	399	393	536	676	713	845	929	966	1117	1133	1525	1430	1726	2240	2458	2307	3466	3404	3228	5277	4730	8744	8408	10714	19629	28040	700884	406568	366457	0	0	0	0	0	0
LFQ	5	2	0	0	112	165	181	181	175	216	243	217	303	388	375	489	655	602	830	811	906	1052	1005	1287	1264	1622	1984	2170	2244	3027	3005	3218	4643	4292	7347	7318	9839	15619	23000	453061	371087	666133	0	0	0	0	0	0
LFQ	6	0	1	10	235	299	369	358	340	334	376	395	470	587	530	669	902	860	1045	1208	1201	1346	1342	1764	1667	1974	2473	2776	2465	3829	3651	3655	5502	4822	8637	8567	11507	19292	27942	645719	422209	399740	0	0	0	0	0	0
LFQ	7	3	1	30	361	506	563	550	576	598	658	573	715	783	754	888	1207	1165	1378	1466	1454	1753	1599	2287	2289	2316	3069	3545	2891	5087	4298	4425	6647	5749	10858	11116	12702	26475	35367	1047085	287125	100156	0	0	0	0	0	0
LFQ	8	338	0	16	307	475	458	499	432	517	484	506	603	711	663	798	1070	1026	1195	1214	1342	1547	1505	1931	1832	2099	2705	3003	2533	4236	3833	3966	5806	5057	9135	9047	11593	20216	28907	673446	431033	354984	0	0	0	0	0	0
LFQ	9	0	0	17	428	644	614	539	639	596	692	746	753	859	941	1285	1462	1295	1712	1593	1977	2099	2330	2355	2603	3062	3318	2969	4602	4692	4880	4661	6520	5432	7520	6511	11410	12024	8777	15606	25531	27409	40463	57664	179153	1132685	0	0
LFQ	10	0	0	22	345	539	493	430	490	539	583	640	724	788	819	1082	1335	1151	1549	1509	1875	1929	2015	2295	2304	2963	3027	3013	4081	4351	4661	4313	6201	5578	6997	6695	10531	11077	9020	15522	23843	25296	37962	57567	177938	1146976	0	0
LFQ	11	0	0	17	429	632	596	554	603	603	687	712	773	861	961	1190	1427	1275	1672	1536	2065	2098	2220	2400	2558	3075	3136	3127	4278	4546	4776	4506	6458	5699	6941	6880	10853	11449	8874	15493	24187	25550	38683	56390	176528	1143770	0	0
LFQ	12	0	0	12	389	650	586	566	557	605	674	677	806	820	939	1229	1398	1210	1626	1603	1901	2031	2155	2274	2473	2990	3053	3129	4140	4572	4627	4364	6340	5632	6877	6842	10462	11229	8895	15180	23371	24670	37114	56426	175044	1150930	0	0
LFQ	13	0	0	16	380	583	522	580	566	577	586	672	733	827	833	1184	1369	1192	1576	1590	1897	1988	2102	2315	2450	2940	3054	3167	4026	4330	4519	4258	6193	5719	6578	7149	10284	10907	9055	15521	23285	24178	36515	57177	175022	1152653	0	0
LFQ	14	19	0	22	403	710	623	610	579	604	666	761	773	867	978	1181	1412	1306	1665	1635	1910	2023	2139	2267	2548	3110	3076	3098	4075	4425	4797	4291	6477	5848	6705	7380	10106	11041	9209	15384	23195	24293	36822	57042	175609	1149384	0	0
LFQ	15	0	0	22	446	655	608	620	583	631	688	814	820	800	984	1269	1414	1346	1555	1601	1910	2098	2212	2420	2580	3101	3098	3334	4077	4560	4779	4364	6580	5882	6660	7506	10158	10948	9204	15803	23007	24366	36714	57226	177041	1146584	0	0
LFQ	16	0	0	3	677	1101	1074	990	1019	1016	1042	1159	1110	1303	1281	1584	1527	1817	1917	1911	2294	2500	2449	3146	3390	3254	4165	4705	4271	5785	5576	7693	7951	8907	8677	10283	13765	14235	14377	19056	26927	27063	42476	54011	110849	583315	579417	0
LFQ	17	404	0	4	695	1109	1115	938	1043	1068	979	1237	1164	1292	1268	1609	1507	1768	2008	1974	2270	2544	2600	3178	3442	3161	3997	4794	4284	5717	5410	7666	7921	8571	8640	10276	13333	13960	14307	18734	27086	26504	42086	52920	107558	551517	617410	0
LFQ	18	1	0	7	690	1203	1130	985	1019	1018	1013	1150	1080	1256	1234	1471	1525	1675	2026	1962	2221	2479	2521	3171	3301	3210	3819	4629	4114	5590	5349	7319	7557	8173	8455	10246	12941	13313	13619	17985	26119	25290	40067	51256	101962	513357	672560	0
LFQ	19	0	0	2	657	1161	1094	961	1011	923	970	1203	1085	1232	1241	1425	1541	1639	1893	1910	2280	2514	2454	3029	3325	3045	3767	4719	4076	5375	5251	7272	7418	8128	8383	10064	12906	13193	13739	17873	25822	24906	40310	51278	102216	514522	673255	0
LFQ	20	16	0	3	730	1185	1091	1014	1028	1005	994	1292	1129	1225	1277	1601	1571	1692	1909	1964	2311	2659	2537	3093	3400	3163	4050	4802	4071	5594	5431	7450	7592	8358	8651	10044	13109	13312	13806	18110	26565	25136	41054	51680	104086	527215	653063	0
